year,scopus,wos_core,wos_all,msa
1970,396369,0,219026,963124
1971,409281,0,223512,899765
1972,418435,448791,545825,913141
1973,508159,459082,554291,976241
1974,548231,495442,579423,979716
1975,551696,566378,660912,1024830
1976,552509,606682,695675,1112241
1977,572656,683770,756514,1242622
1978,601799,703956,781842,1314237
1979,637342,728927,805557,1375224
1980,652906,749494,823557,1505820
1981,683704,775630,848554,1509053
1982,728842,810979,883338,1561538
1983,750918,875203,949236,1627795
1984,795714,893764,967257,1689624
1985,810048,893692,973755,1778324
1986,795369,909512,994116,1877793
1987,799984,922871,1016248,1975993
1988,824635,917364,1018342,2084139
1989,873907,927984,1033224,2206742
1990,922341,1007180,1106862,2371606
1991,924968,1046655,1139606,2400140
1992,924524,1060932,1148111,2542229
1993,975684,1103534,1190896,2558909
1994,1009826,1161450,1245676,2765299
1995,1047059,1212177,1292659,2891673
1996,1186031,1272227,1349745,3064890
1997,1213723,1303628,1394232,3263703
1998,1228901,1315298,1442081,3490593
1999,1238214,1305762,1437551,3709404
2000,1308494,1348970,1485910,4102910
2001,1418304,1328956,1466842,4327252
2002,1487129,1374091,1563623,4672950
2003,1568846,1439073,1644863,5008476
2004,1684572,1534865,1761108,5447228
2005,1912732,1755660,2007718,5877937
2006,2002653,1859720,2119886,6373801
2007,2132127,2019882,2252281,6793866
2008,2227625,2151237,2390520,7346960
2009,2337817,2297771,2542517,7870935
2010,2459135,2351661,2591332,8590336
2011,2619941,2472329,2727308,9084362
2012,2746167,2602078,2868454,9630419
2013,2857571,2594648,2864814,10260102
2014,2912453,2703743,2983020,10521203
2015,2877149,2801793,3081545,10803758
2016,2962894,2923121,3219794,10762434
2017,3092956,2980143,3273742,10248807
